order_id,order_datum,product_id,product_naam,categorie,aantal,kanaal,prijs
O0001,2025-01-29,P006,Accessoire 6,Accessoire,4,Bol,145
O0002,2025-03-12,P218,Vergadertafel 218,Tafel,1,Amazon,954
O0003,2025-06-26,P258,Zit-sta bureau 258,Bureau,5,Bol,628
O0004,2025-04-18,P042,Vergadertafel 42,Tafel,1,WooCommerce,517
O0005,2025-02-02,P015,Accessoire 15,Accessoire,5,Magento,108
O0006,2025-06-08,P212,Ergonomische stoel 212,Stoel,2,Amazon,358
O0007,2025-01-08,P372,Vergadertafel 372,Tafel,1,Bol,977
O0008,2025-05-31,P136,Ergonomische stoel 136,Stoel,5,Amazon,257
O0009,2025-04-23,P189,Vergadertafel 189,Tafel,2,Magento,1032
O0010,2025-05-20,P181,Zit-sta bureau 181,Bureau,1,Magento,613
O0011,2025-05-26,P045,Vergadertafel 45,Tafel,1,WooCommerce,528
O0012,2025-03-06,P279,Vergadertafel 279,Tafel,4,WooCommerce,1149
O0013,2025-03-07,P084,Vergadertafel 84,Tafel,4,Amazon,920
O0014,2025-03-31,P313,Accessoire 313,Accessoire,5,Bol,66
O0015,2025-05-25,P279,Vergadertafel 279,Tafel,2,Bol,1149
O0016,2025-06-11,P300,Zit-sta bureau 300,Bureau,4,Magento,618
O0017,2025-06-29,P033,Ergonomische stoel 33,Stoel,2,Amazon,276
O0018,2025-03-06,P137,Ergonomische stoel 137,Stoel,2,Magento,359
O0019,2025-06-09,P314,Zit-sta bureau 314,Bureau,2,WooCommerce,592
O0020,2025-06-24,P445,Zit-sta bureau 445,Bureau,5,WooCommerce,690
O0021,2025-04-19,P417,Zit-sta bureau 417,Bureau,3,Bol,596
O0022,2025-05-31,P212,Ergonomische stoel 212,Stoel,1,Amazon,358
O0023,2025-02-22,P052,Accessoire 52,Accessoire,1,Amazon,157
O0024,2025-05-14,P286,Ergonomische stoel 286,Stoel,2,Bol,181
O0025,2025-03-18,P200,Ergonomische stoel 200,Stoel,5,WooCommerce,225
O0026,2025-04-25,P336,Accessoire 336,Accessoire,1,Amazon,187
O0027,2025-04-24,P245,Accessoire 245,Accessoire,4,Amazon,87
O0028,2025-02-26,P300,Zit-sta bureau 300,Bureau,2,Amazon,618
O0029,2025-03-10,P141,Vergadertafel 141,Tafel,2,Bol,524
O0030,2025-05-04,P446,Ergonomische stoel 446,Stoel,4,Bol,285
O0031,2025-05-23,P167,Zit-sta bureau 167,Bureau,1,WooCommerce,507
O0032,2025-04-16,P089,Vergadertafel 89,Tafel,2,WooCommerce,699
O0033,2025-02-25,P041,Ergonomische stoel 41,Stoel,4,WooCommerce,334
O0034,2025-02-12,P287,Vergadertafel 287,Tafel,4,WooCommerce,1032
O0035,2025-03-24,P004,Zit-sta bureau 4,Bureau,1,WooCommerce,537
O0036,2025-05-01,P257,Accessoire 257,Accessoire,3,WooCommerce,48
O0037,2025-01-10,P188,Ergonomische stoel 188,Stoel,5,Magento,384
O0038,2025-06-11,P158,Accessoire 158,Accessoire,2,Magento,175
O0039,2025-05-22,P126,Vergadertafel 126,Tafel,3,Bol,797
O0040,2025-02-01,P196,Accessoire 196,Accessoire,1,Bol,50
O0041,2025-03-17,P357,Ergonomische stoel 357,Stoel,5,Magento,174
O0042,2025-04-02,P007,Ergonomische stoel 7,Stoel,5,Magento,277
O0043,2025-01-15,P013,Ergonomische stoel 13,Stoel,5,WooCommerce,392
O0044,2025-03-14,P058,Vergadertafel 58,Tafel,5,Magento,836
O0045,2025-04-06,P227,Zit-sta bureau 227,Bureau,2,Amazon,622
O0046,2025-05-05,P121,Ergonomische stoel 121,Stoel,5,Bol,229
O0047,2025-04-05,P448,Accessoire 448,Accessoire,5,Amazon,62
O0048,2025-03-17,P403,Ergonomische stoel 403,Stoel,3,WooCommerce,326
O0049,2025-05-03,P123,Accessoire 123,Accessoire,1,Bol,75
O0050,2025-06-03,P163,Ergonomische stoel 163,Stoel,3,Magento,389
O0051,2025-01-10,P361,Ergonomische stoel 361,Stoel,3,WooCommerce,220
O0052,2025-04-01,P344,Ergonomische stoel 344,Stoel,4,Bol,307
O0053,2025-01-18,P287,Vergadertafel 287,Tafel,2,WooCommerce,1032
O0054,2025-02-27,P393,Zit-sta bureau 393,Bureau,3,Bol,420
O0055,2025-01-05,P006,Accessoire 6,Accessoire,5,WooCommerce,145
O0056,2025-06-16,P366,Vergadertafel 366,Tafel,2,Amazon,552
O0057,2025-04-27,P169,Zit-sta bureau 169,Bureau,4,Bol,628
O0058,2025-03-21,P273,Vergadertafel 273,Tafel,5,Amazon,817
O0059,2025-04-22,P368,Accessoire 368,Accessoire,4,Amazon,140
O0060,2025-03-22,P270,Accessoire 270,Accessoire,2,WooCommerce,89
O0061,2025-01-31,P130,Accessoire 130,Accessoire,4,Bol,124
O0062,2025-04-20,P117,Vergadertafel 117,Tafel,4,Bol,1128
O0063,2025-05-27,P262,Vergadertafel 262,Tafel,5,Bol,1060
O0064,2025-04-27,P365,Vergadertafel 365,Tafel,3,WooCommerce,849
O0065,2025-04-02,P433,Zit-sta bureau 433,Bureau,2,Magento,661
O0066,2025-06-06,P104,Ergonomische stoel 104,Stoel,1,Bol,268
O0067,2025-06-06,P172,Zit-sta bureau 172,Bureau,3,Amazon,770
O0068,2025-02-11,P191,Vergadertafel 191,Tafel,5,WooCommerce,726
O0069,2025-03-31,P082,Accessoire 82,Accessoire,4,Amazon,179
O0070,2025-01-11,P104,Ergonomische stoel 104,Stoel,2,Bol,268
O0071,2025-04-30,P429,Ergonomische stoel 429,Stoel,3,WooCommerce,241
O0072,2025-02-08,P194,Vergadertafel 194,Tafel,5,Magento,520
O0073,2025-06-02,P200,Ergonomische stoel 200,Stoel,1,Amazon,225
